OBJECTID_1,SiteID,FieldWetla,FieldVeldA,FieldAlien,Latitude,Longitude,PairID,RecordingN,Year,Month,Day,Campaign,AVIRIS,LVIS,WetlandTyp,LandCoverC,ElevationC,FireClass,CLUSTER_ID,COLOR_ID
49,s2lam057_230807,Not available,Not available,Not available,-33.1529,18.1214,487,171,23,8,7,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,93,7
56,s2lam151_230713,Not available,Not available,Not available,-33.3679,22.1079,484,896,23,7,13,Wet season,Y,N,NA,Grassland,Medium: 500-1000 m,25+ years,49,8
76,s2lam091_230712,Not available,Not available,Not available,-33.9758,20.8385,474,715,23,7,12,Wet season,Y,N,NA,Forest-Woodland,Low: 0-500 m,6-to-12 years,40,4
41,s2lam016_230718,Not available,Not available,Not available,-34.0677,22.948966,491,579,23,7,18,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,6,5
95,s2lam107_231004,Within 50 m of a river or stream,Old (> 17 yrs),None,-33.990746,22.698811,463,719,23,10,4,Dry season,Y,Y,Estuary,Wetland,Low: 0-500 m,No data or No Fire,32,1
94,s2lam104_231125,Not near (100 m) any water,Old (> 17 yrs),None,-33.967888,23.538435,465,565,23,11,25,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
108,s2lam160_231005,Within 50 m of a river or stream,Intermediate (6-17 yrs),None,-33.34018,21.878358,457,855,23,10,5,Dry season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,49,8
52,s2lam162_230808,Not available,Not available,Not available,-33.677342,21.5517,486,979,23,8,8,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,27,4
11,s2lam045_230705,Not available,Not available,Not available,-34.738445,19.787887,506,707,23,7,5,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,11,5
85,s2lam040_231110,Not near (100 m) any water,Old (> 17 yrs),None,-33.947878,23.136556,469,717,23,11,10,Dry season,Y,Y,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,5,5
114,s2lam165_230725,Not available,Not available,Not available,-33.9293,22.4523,454,1008,23,7,25,Wet season,Y,Y,NA,Forest-Woodland,Medium: 500-1000 m,1-to-6 years,100,6
59,s2lam081_230705,Not available,Not available,Not available,-34.718987,19.767503,482,668,23,7,5,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,11,5
14,s2lam084_230705,Not available,Not available,Not available,-34.7412,19.7983,505,705,23,7,5,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,11,5
45,s2lam042_230710,Not available,Not available,Not available,-34.3316,18.46297,489,573,23,7,10,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,96,4
61,s2lam026_230822,Not available,Not available,Not available,-34.433642,20.4193,481,692,23,8,22,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,25+ years,43,4
120,s2lam107_230703,Not available,Not available,Not available,-33.9682,23.4026,451,569,23,7,3,Wet season,Y,N,Estuary,Forest-Woodland,Low: 0-500 m,No data or No Fire,77,3
4,s2lam040_231125,Within 50 m of a river or stream,Old (> 17 yrs),None,-33.987046,23.534931,510,595,23,11,25,Dry season,Y,Y,Estuary,Forest-Woodland,Low: 0-500 m,No data or No Fire,75,2
20,s2lam132_230822,Not available,Not available,Not available,-34.3441,18.863163,502,840,23,8,22,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,66,6
35,s2lam030_230811,Not available,Not available,Not available,-32.1977,19.0944,494,1530,23,8,11,Wet season,Y,Y,NA,Grassland,Medium: 500-1000 m,6-to-12 years,20,4
47,s2lam041_230718,Not available,Not available,Not available,-34.073519,22.9652,488,571,23,7,18,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,6,5
66,s2lam080_231118,In or near (10 m) seep,Old (> 17 yrs),Rare to Very Scattered,-34.000992,18.391309,479,1001,23,11,18,Dry season,Y,Y,Floodplain,Forest-Woodland,Low: 0-500 m,No data or No Fire,83,8
115,s2lam088_231020,Within 50 m of a river or stream,Old (> 17 yrs),None,-33.97995,22.611579,453,719,23,10,20,Dry season,Y,Y,Estuary,Forest-Woodland,Low: 0-500 m,No data or No Fire,46,3
79,s2lam061_230721,Not available,Not available,Not available,-33.879327,22.0303,472,708,23,7,21,Wet season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,15,8
70,s2lam188_231124,Within 50 m of a river or stream,"Young (burned, < 6 yrs)",None,-34.103066,18.437319,477,440,23,11,24,Dry season,Y,Y,Seep,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
37,s2lam078_231010,Not available,Old (> 17 yrs),None,-34.809432,19.944318,493,715,23,10,10,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,34,8
51,s2lam108_231106,Not available,Not available,Not available,-33.677361,21.551764,486,1130,23,11,6,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,27,4
73,s2lam082_230808,Not available,Not available,Not available,-33.681311,21.5598,475,992,23,8,8,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,27,4
109,s2lam079_231103,Not near (100 m) any water,Old (> 17 yrs),None,-33.916046,22.957498,456,715,23,11,3,Dry season,Y,N,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,33,6
33,s2lam119_231026,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.515512,20.575432,495,854,23,10,26,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,37,8
92,s2lam139_230718,Not available,Not available,Not available,-33.9819,20.825072,466,868,23,7,18,Wet season,Y,N,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,40,4
103,s2lam027_231115,Not near (100 m) any water,Intermediate (6-17 yrs),Rare to Very Scattered,-34.110852,18.46338,459,589,23,11,15,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
123,s2lam115_230714,Not available,Not available,Not available,-33.7342,21.9351,449,994,23,7,14,Wet season,Y,Y,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,52,8
90,s2lam024_230808,Not available,Not available,Not available,-33.1619,18.045571,467,874,23,8,8,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,19,8
112,s2lam163_231010,Not near (100 m) any water,Old (> 17 yrs),None,-33.917557,19.871622,455,1007,23,10,10,Dry season,Y,Y,NA,Agriculture,Low: 0-500 m,No data or No Fire,58,2
25,s2lam123_230710,Not available,Not available,Not available,-34.0595,20.4315,499,1295,23,7,10,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,98,2
29,s2lam020_231010,Not near (100 m) any water,Old (> 17 yrs),None,-34.803752,19.941432,497,695,23,10,10,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,34,8
21,s2lam111_231025,Not near (100 m) any water,Old (> 17 yrs),None,-33.485558,20.497028,501,852,23,10,25,Dry season,Y,N,NA,Shrubland-Karoo,Medium: 500-1000 m,No data or No Fire,25,6
65,s2lam071_230820,Not available,Not available,Not available,-34.000935,18.3913,479,1016,23,8,20,Wet season,Y,Y,Floodplain,Forest-Woodland,Low: 0-500 m,No data or No Fire,83,8
15,s2lam073_230705,Not available,Not available,Not available,-33.942448,19.170484,504,584,23,7,5,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,76,3
72,s2lam137_230703,Not available,Not available,Not available,-34.3264,18.965782,476,1119,23,7,3,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,12-to-17 years,105,5
16,s2lam178_231123,Not near (100 m) any water,"Young (burned, < 6 yrs)",Dense to Closed,-33.942122,19.169778,504,430,23,11,23,Dry season,Y,Y,NA,Wetland,Low: 0-500 m,1-to-6 years,76,3
64,s2lam142_231130,In or near (25 m) wetland,Intermediate (6-17 yrs),None,-34.321593,18.965588,480,608,23,11,30,Dry season,Y,Y,Seep,Wetland,Low: 0-500 m,1-to-6 years,105,5
54,s2lam123_231110,Not near (100 m) any water,"Young (burned, < 6 yrs)",Rare to Very Scattered,-34.41351,20.631727,485,725,23,11,10,Dry season,Y,Y,NA,Agriculture,Low: 0-500 m,6-to-12 years,90,8
24,s2lam058_231110,Not near (100 m) any water,Intermediate (6-17 yrs),Scattered to Medium,-34.374848,20.534918,500,727,23,11,10,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,74,7
26,s2lam139_231009,Not near (100 m) any water,Intermediate (6-17 yrs),None,-34.059617,20.431553,499,1470,23,10,9,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,98,2
78,s2lam121_230813,Not available,Not available,Not available,-34.7169,19.938,473,621,23,8,13,Wet season,Y,N,NA,Agriculture,Low: 0-500 m,No data or No Fire,87,7
80,s2lam091_231017,Within 50 m of a river or stream,"Young (burned, < 6 yrs)",None,-33.879359,22.03036,472,850,23,10,17,Dry season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,15,8
69,s2lam071_230702,Not available,Not available,Not available,-34.1031,18.437288,477,583,23,7,2,Wet season,Y,Y,Seep,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,30,1
74,s2lam162_231106,Not available,Not available,Not available,-33.681617,21.560129,475,1143,23,11,6,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,27,4
102,s2lam145_230725,Not available,Not available,Not available,-33.929234,22.450883,460,1009,23,7,25,Wet season,Y,Y,NA,Forest-Woodland,Medium: 500-1000 m,1-to-6 years,100,6
77,s2lam098_231125,Not near (100 m) any water,Old (> 17 yrs),None,-34.716903,19.937988,473,581,23,11,25,Dry season,Y,N,NA,Agriculture,Low: 0-500 m,No data or No Fire,87,7
67,s2lam144_231026,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.518933,20.544805,478,854,23,10,26,Dry season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,12-to-17 years,97,4
88,s2lam127_230707,Not available,Not available,Not available,-33.591918,23.40867,468,1126,23,7,7,Wet season,Y,Y,NA,Shrubland-Fynbos,High: >1000 m,No data or No Fire,16,3
34,s2lam135_230802,Not available,Not available,Not available,-33.515527,20.5754,495,715,23,8,2,Wet season,Y,N,NA,Shrubland-Fynbos,High: >1000 m,1-to-6 years,37,8
6,s2lam186_231122,Not near (100 m) any water,"Young (burned, < 6 yrs)",Rare to Very Scattered,-32.138872,19.018572,509,423,23,11,22,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,6-to-12 years,102,5
105,s2lam061_231113,Within 50 m of a river or stream,"Young (burned, < 6 yrs)",Scattered to Medium,-33.893397,22.422274,458,545,23,11,13,Dry season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,3,2
39,s2lam020_230810,Not available,Not available,Not available,-33.9565,21.2232,492,872,23,8,10,Wet season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,35,1
110,s2lam104_230725,Not available,Not available,Not available,-33.916014,22.957528,456,1008,23,7,25,Wet season,Y,N,NA,Forest-Woodland,Low: 0-500 m,No data or No Fire,33,6
63,s2lam118_230703,Not available,Not available,Not available,-34.3216,18.965567,480,1125,23,7,3,Wet season,Y,Y,Seep,Wetland,Low: 0-500 m,1-to-6 years,105,5
119,s2lam104_231011,Within 50 m of a river or stream,Old (> 17 yrs),None,-33.96827,23.402442,451,725,23,10,11,Dry season,Y,N,Estuary,Forest-Woodland,Low: 0-500 m,No data or No Fire,77,3
18,s2lam098_230712,Not available,Not available,Not available,-33.9766,20.839877,503,714,23,7,12,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,40,4
23,s2lam054_230725,Not available,Not available,Not available,-34.3748,20.5348,500,714,23,7,25,Wet season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,74,7
42,s2lam074_231027,Not near (100 m) any water,Intermediate (6-17 yrs),Rare to Very Scattered,-34.067685,22.948984,491,721,23,10,27,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,1-to-6 years,6,5
46,s2lam133_231011,Not near (100 m) any water,Not available,Rare to Very Scattered,-34.331579,18.462966,489,1004,23,10,11,Dry season,Y,Y,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,96,4
106,s2lam150_230814,Not available,Not available,Not available,-33.8934,22.4226,458,1148,23,8,14,Wet season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,3,2
22,s2lam137_230725,Not available,Not available,Not available,-33.4856,20.497,501,999,23,7,25,Wet season,Y,N,NA,Shrubland-Karoo,Medium: 500-1000 m,No data or No Fire,25,6
40,s2lam161_231109,Not near (100 m) any water,"Young (burned, < 6 yrs)",None,-33.956487,21.223185,492,547,23,11,9,Dry season,Y,N,NA,Shrubland-Fynbos,Medium: 500-1000 m,1-to-6 years,35,1
38,s2lam116_230812,Not available,Not available,Not available,-34.809442,19.944388,493,709,23,8,12,Wet season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,34,8
13,s2lam078_231016,In or near (25 m) wetland,Intermediate (6-17 yrs),Rare to Very Scattered,-34.741615,19.79605,505,564,23,10,16,Dry season,Y,N,NA,Shrubland-Fynbos,Low: 0-500 m,No data or No Fire,11,5
99,s2lam027_230705,Not available,Not available,Not available,-33.9065,19.158487,461,605,23,7,5,Wet season,Y,Y,NA,Shrubland-Fynbos,Medium: 500-1000 m,17-to-25 years,63,1
